league_code,team,city,iso2
NOR,Kristiansund,Kristiansund,NO
NOR,Lillestrom,Lillestrøm,NO
NOR,Molde,Molde,NO
NOR,Rosenborg,Trondheim,NO
NOR,Sandefjord,Sandefjord,NO
NOR,Sarpsborg 08,Sarpsborg,NO
NOR,Start,Kristiansand,NO
NOR,Tromso,Tromsø,NO
NOR,Viking,Stavanger,NO
NOR,Valerenga,Oslo,NO
POL,Cracovia,Kraków,PL
POL,GKS Katowice,Katowice,PL
POL,Gornik Zabrze,Zabrze,PL
POL,Jagiellonia,Białystok,PL
POL,Korona Kielce,Kielce,PL
POL,Lech Poznan,Poznań,PL
POL,Legia,Warsaw,PL
POL,Motor Lublin,Lublin,PL
POL,Piast Gliwice,Gliwice,PL
POL,Pogon Szczecin,Szczecin,PL
POL,Radomiak Radom,Radom,PL
POL,Wieczysta Krakow,Kraków,PL
POL,Wisla Plock,Płock,PL
ROU,CFR Cluj,Cluj-Napoca,RO
ROU,Corvinul,Hunedoara,RO
ROU,Dinamo Bucuresti,Bucharest,RO
ROU,Farul Constanta,Ovidiu,RO
ROU,FCSB,Bucharest,RO
ROU,Petrolul,Ploiești,RO
ROU,FC Rapid Bucuresti,Bucharest,RO
ROU,Sepsi Sf. Gheorghe,Sfântu Gheorghe,RO
ROU,U Craiova,Craiova,RO
ROU,UTA Arad,Arad,RO
ROU,FC Voluntari,Voluntari,RO
RUS,Akhmat Grozny,Grozny,RU
RUS,Akron Togliatti,Tolyatti,RU
RUS,Baltika,Kaliningrad,RU
RUS,CSKA Moscow,Moscow,RU
RUS,Dynamo Makhachkala,Makhachkala,RU
RUS,Dynamo Moscow,Moscow,RU
RUS,Fakel Voronezh,Voronezh,RU
RUS,Krasnodar,Krasnodar,RU
RUS,Krylya Sovetov,Samara,RU
RUS,Lokomotiv Moscow,Moscow,RU
RUS,Orenburg,Orenburg,RU
RUS,Rodina Moscow,Moscow,RU
RUS,FK Rostov,Rostov-on-Don,RU
RUS,Rubin Kazan,Kazan,RU
RUS,Spartak Nalchik,Moscow,RU
RUS,Zenit,Saint Petersburg,RU
SWE,AIK,Solna,SE
SWE,Degerfors,Degerfors,SE
SWE,GAIS,Gothenburg,SE
SWE,Halmstad,Halmstad,SE
SWE,Hammarby,Stockholm,SE
SWE,Brommapojkarna,Stockholm,SE
SWE,Elfsborg,Borås,SE
SWE,Sirius,Uppsala,SE
SWE,Kalmar,Kalmar,SE
SWE,Malmo FF,Malmö,SE
SWE,Vasteras SK,Västerås,SE
ARG,All Boys,Buenos Aires,AR
ARG,Arsenal Sarandi,Avellaneda,AR
ARG,Atl. Rafaela,Rafaela,AR
ARG,Chacarita Juniors,Buenos Aires,AR
ARG,Colon Santa FE,Santa Fe,AR
ARG,Colon Santa Fe,Santa Fe,AR
ARG,Crucero del Norte,Posadas,AR
ARG,Estudiantes Rio Cuarto,Río Cuarto,AR
ARG,Gimnasia Mendoza,Mendoza,AR
ARG,Godoy Cruz,Mendoza,AR
ARG,Ind. Rivadavia,Mendoza,AR
ARG,Nueva Chicago,Buenos Aires,AR
ARG,Olimpo Bahia Blanca,Bahía Blanca,AR
ARG,Patronato,Paraná,AR
ARG,Quilmes,Quilmes,AR
ARG,San Martin S.J.,San Juan,AR
ARG,San Martin T.,San Miguel de Tucumán,AR
ARG,Temperley,Temperley,AR
AUT,A. Klagenfurt,Klagenfurt,AT
AUT,Admira,Maria Enzersdorf,AT
AUT,BW Linz,Linz,AT
AUT,Grodig,Grödig,AT
AUT,Mattersburg,Mattersburg,AT
AUT,Neustadt,Wiener Neustadt,AT
AUT,St. Polten,Sankt Pölten,AT
AUT,Wacker Innsbruck,Innsbruck,AT
B1,Aalst,Aalst,BE
B1,Beerschot VA,Antwerp,BE
B1,Bergen,Mons,BE
B1,Dender,Denderleeuw,BE
B1,Eupen,Eupen,BE
B1,FC Brussels,Brussels,BE
B1,Germinal,Antwerp,BE
B1,Harelbeke,Harelbeke,BE
B1,Heusden Zolder,Heusden-Zolder,BE
B1,Lierse,Lier,BE
B1,Lokeren,Lokeren,BE
B1,Lommel,Lommel,BE
B1,Louvieroise,La Louviere,BE
B1,Molenbeek,Brussels,BE
B1,Mouscron,Mouscron,BE
B1,Mouscron-Peruwelz,Mouscron,BE
B1,Oostende,Ostend,BE
B1,RWD Molenbeek,Brussels,BE
B1,Roeselare,Roeselare,BE
B1,Seraing,Seraing,BE
B1,Tubize,Tubize,BE
B1,Waasland-Beveren,Beveren,BE
BRA,America MG,Belo Horizonte,BR
BRA,Athletico-PR,Curitiba,BR
BRA,Atletico GO,Goiânia,BR
BRA,Avai,Florianópolis,BR
BRA,CSA,Maceió,BR
BRA,Ceara,Fortaleza,BR
BRA,Criciuma,Criciúma,BR
BRA,Cuiaba,Cuiabá,BR
BRA,Figueirense,Florianópolis,BR
BRA,Fortaleza,Fortaleza,BR
BRA,Goias,Goiânia,BR
BRA,Joinville,Joinville,BR
BRA,Juventude,Caxias do Sul,BR
BRA,Nautico,Recife,BR
BRA,Ponte Preta,Campinas,BR
BRA,Portuguesa,São Paulo,BR
BRA,Santa Cruz,Recife,BR
BRA,Sport Recife,Recife,BR
CHN,Beijing Renhe,Beijing,CN
CHN,Cangzhou,Cangzhou,CN
CHN,Changchun Yatai,Changchun,CN
CHN,Chongqing Liangjiang Athletic,Chongqing,CN
CHN,Dalian Pro,Dalian,CN
CHN,Dalian Yifang F.C.,Dalian,CN
CHN,Guangzhou City,Guangzhou,CN
CHN,Guangzhou Evergrande,Guangzhou,CN
CHN,Guangzhou FC,Guangzhou,CN
CHN,Guangzhou R&F,Guangzhou,CN
CHN,Guizhou Zhicheng,Guiyang,CN
CHN,Hangzhou Greentown,Hangzhou,CN
CHN,Hebei,Langfang,CN
CHN,Jiangsu Suning,Nanjing,CN
CHN,Liaoning,Shenyang,CN
CHN,Meizhou Hakka,Meizhou,CN
CHN,Nantong Zhiyun,Nantong,CN
CHN,Qingdao FC,Qingdao,CN
CHN,Shandong Luneng,Jinan,CN
CHN,Shanghai SIPG,Shanghai,CN
CHN,Shanghai Shenxin,Shanghai,CN
CHN,Shenzhen Xinpengcheng,Shenzhen,CN
CHN,Shijiazhuang,Shijiazhuang,CN
CHN,Tianjin Quanjian,Tianjin,CN
CHN,Tianjin Tianhai,Tianjin,CN
CHN,Wuhan FC,Wuhan,CN
CHN,Yanbian,Yanji,CN
CHN,Zhejiang Professional,Hangzhou,CN
CHN,Zhejiang Yiteng,Harbin,CN
D1,Aachen,Aachen,DE
D1,Bielefeld,Bielefeld,DE
D1,Bochum,Bochum,DE
D1,Braunschweig,Braunschweig,DE
D1,Cottbus,Cottbus,DE
D1,Darmstadt,Darmstadt,DE
