league_code,wiki_team,matched_raw_team,city,match_score
MEX,Monterrey,Monterrey,"Guadalupe, Nuevo León",100.0
MEX,Necaxa,Necaxa,"Aguascalientes, Aguascalientes",100.0
MEX,Pachuca,Pachuca,"Pachuca, Hidalgo",100.0
MEX,Puebla,Puebla,"Puebla, Puebla",100.0
MEX,Pumas UNAM,UNAM Pumas,Mexico City,95.0
MEX,Querétaro,Queretaro,"Querétaro, Querétaro",88.88888888888889
MEX,Santos Laguna,Santos Laguna,"Torreón, Coahuila",100.0
MEX,Tigres UANL,Tigres UANL,"San Nicolás de los Garza, Nuevo León",100.0
MEX,Tijuana,Club Tijuana,"Tijuana, Baja California",90.0
MEX,Toluca,Toluca,"Toluca, State of Mexico",100.0
NOR,Aalesund,Aalesund,Ålesund,100.0
NOR,Bodø/Glimt,Bodo/Glimt,Bodø,90.0
NOR,Brann,Brann,Bergen,100.0
NOR,Fredrikstad,Fredrikstad,Fredrikstad,100.0
NOR,HamKam,HamKam,Hamar,100.0
NOR,KFUM,KFUM Oslo,Oslo,90.0
NOR,Kristiansund,Kristiansund,Kristiansund,100.0
NOR,Lillestrøm,Lillestrom,Lillestrøm,90.0
NOR,Molde,Molde,Molde,100.0
NOR,Rosenborg,Rosenborg,Trondheim,100.0
NOR,Sandefjord,Sandefjord,Sandefjord,100.0
NOR,Sarpsborg,Sarpsborg 08,Sarpsborg,95.0
NOR,Start,Start,Kristiansand,100.0
NOR,Tromsø,Tromso,Tromsø,83.33333333333334
NOR,Viking,Viking,Stavanger,100.0
NOR,Vålerenga,Valerenga,Oslo,88.88888888888889
POL,Cracovia,Cracovia,Kraków,100.0
POL,GKS Katowice,GKS Katowice,Katowice,100.0
POL,Górnik Zabrze,Gornik Zabrze,Zabrze,92.3076923076923
POL,Jagiellonia Białystok,Jagiellonia,Białystok,90.0
POL,Korona Kielce,Korona Kielce,Kielce,100.0
POL,Lech Poznań,Lech Poznan,Poznań,90.9090909090909
POL,Legia Warsaw,Legia,Warsaw,90.0
POL,Motor Lublin,Motor Lublin,Lublin,100.0
POL,Piast Gliwice,Piast Gliwice,Gliwice,100.0
POL,Pogoń Szczecin,Pogon Szczecin,Szczecin,92.85714285714286
POL,Radomiak Radom,Radomiak Radom,Radom,100.0
POL,Raków Częstochowa,Rakow,Częstochowa,72.0
POL,Śląsk Wrocław,Slask Wroclaw,Wrocław,76.92307692307692
POL,Widzew Łódź,Widzew Lodz,Łódź,72.72727272727273
POL,Wieczysta Kraków,Wieczysta Krakow,Kraków,93.75
POL,Wisła Kraków,Wisla,Kraków,72.0
POL,Wisła Płock,Wisla Plock,Płock,81.81818181818181
POL,Zagłębie Lubin,Zaglebie,Lubin,67.5
ROU,Argeș Pitești,FC Arges,Mioveni,61.07142857142858
ROU,Botoșani,FC Botosani,Botoșani,73.6842105263158
ROU,CFR Cluj,CFR Cluj,Cluj-Napoca,100.0
ROU,Corvinul Hunedoara↑,Corvinul,Hunedoara,90.0
ROU,Csíkszereda Miercurea Ciuc,Csikszereda M. Ciuc,Miercurea Ciuc,75.55555555555556
ROU,Dinamo București,Dinamo Bucuresti,Bucharest,93.75
ROU,Farul Constanța,Farul Constanta,Ovidiu,93.33333333333333
ROU,FCSB,FCSB,Bucharest,100.0
ROU,Oțelul Galați,Otelul,Galați,75.00000000000001
ROU,Petrolul Ploiești,Petrolul,Ploiești,90.0
ROU,Rapid București,FC Rapid Bucuresti,Bucharest,84.84848484848484
ROU,Sepsi OSK↑,Sepsi Sf. Gheorghe,Sfântu Gheorghe,85.5
ROU,Universitatea Cluj,CFR Cluj,Cluj-Napoca,85.5
ROU,Universitatea Craiova,U Craiova,Craiova,85.5
ROU,UTA Arad,UTA Arad,Arad,100.0
ROU,Voluntari↑,FC Voluntari,Voluntari,81.81818181818181
RUS,Akhmat,Akhmat Grozny,Grozny,90.0
RUS,Akron,Akron Togliatti,Tolyatti,90.0
RUS,Baltika,Baltika,Kaliningrad,100.0
RUS,CSKA,CSKA Moscow,Moscow,90.0
RUS,Dynamo Makhachkala,Dynamo Makhachkala,Makhachkala,100.0
RUS,Dynamo Moscow,Dynamo Moscow,Moscow,100.0
RUS,Fakel,Fakel Voronezh,Voronezh,90.0
RUS,Krasnodar,Krasnodar,Krasnodar,100.0
RUS,Krylia Sovetov,Krylya Sovetov,Samara,92.85714285714286
RUS,Lokomotiv,Lokomotiv Moscow,Moscow,90.0
RUS,Orenburg,Orenburg,Orenburg,100.0
RUS,Rodina,Rodina Moscow,Moscow,90.0
RUS,Rostov,FK Rostov,Rostov-on-Don,90.0
RUS,Rubin,Rubin Kazan,Kazan,90.0
RUS,Spartak,Spartak Nalchik,Moscow,90.0
RUS,Zenit,Zenit,Saint Petersburg,100.0
SWE,AIK,AIK,Solna,100.0
SWE,BK Häcken,Hacken,Gothenburg,75.00000000000001
SWE,Degerfors IF,Degerfors,Degerfors,95.0
SWE,Djurgårdens IF,Djurgarden,Stockholm,75.0
SWE,GAIS,GAIS,Gothenburg,100.0
SWE,Halmstads BK,Halmstad,Halmstad,90.0
SWE,Hammarby IF,Hammarby,Stockholm,95.0
SWE,IF Brommapojkarna,Brommapojkarna,Stockholm,95.0
SWE,IF Elfsborg,Elfsborg,Borås,95.0
SWE,IFK Göteborg,Goteborg,Gothenburg,78.75
SWE,IK Sirius,Sirius,Uppsala,90.0
SWE,Kalmar FF,Kalmar,Kalmar,90.0
SWE,Malmö FF,Malmo FF,Malmö,87.5
SWE,Mjällby AIF,Mjallby,Hällevik,77.14285714285715
SWE,Örgryte IS,Orgryte,Gothenburg,70.58823529411764
SWE,Västerås SK,Vasteras SK,Västerås,81.81818181818181
