league_code,your_name,lat,lon,matched_display
N1,Sparta Rotterdam,51.9194555,4.4335507,"Sparta Stadion, Kasteeltuin Spangen, Spangen, Delfshaven, Rotterdam, Zuid-Holland, Nederland, 3027 VZ, Nederland"
N1,Almere City,52.3704954,5.2152939,"City, 63, Bottelaarpassage, Centrum, Almere Stad, Almere, Flevoland, Nederland, 1315 EP, Nederland"
N1,Telstar,33.7006099,-117.7227974,"Telstar, Orange County Great Park, Irvine, Orange County, California, 92618, United States"
P1,Porto,18.4536833,-66.0739483,"Puerto Rico Football Club PRFC, 1095, Avenida Román Baldorioty de Castro, Alto del Cabro, Santurce, San Juan, Puerto Rico, 00907, United States"
P1,Sp Braga,-22.8949742,-47.0566649,"Braga, Rua Santa Cruz, Jardim Guanabara, Cambuí, Campinas, São Paulo, Região Sudeste, 13024-100, Brasil"
P1,Alverca,38.8898093,-9.0339695,"Alverca, Estrada do Campo Internacional de Aterragem, Verdelha, Alverca do Ribatejo, Alverca do Ribatejo e Sobralinho, Vila Franca de Xira, Lisboa, 2615-205, Portugal"
P1,Gil Vicente,38.6954657,-9.30036,"Gil Vicente, Figueirinha, Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa, Portugal"
P1,Campomaiorense,39.0144562,-7.0610653,"Clube de Saúde S. C. Campomaiorense, 2, Rua Francisco Marchã, São Pedro, Nossa Senhora da Expectação, Campo Maior, Portalegre, 7370-012, Portugal"
P1,Belenenses,39.7277077,-8.929893,"Campo do Futebol Clube ""Os Belenenses"", Estrada dos Guilhermes, Zona Industrial Casal da Lebre, Marinha Grande, Leiria, 2430-307, Portugal"
P1,Boavista,2.8208478,-60.6719582,"Boa Vista, Roraima, Região Norte, Brasil"
P1,Varzim,41.3794188,-8.7598689,"Póvoa de Varzim, Porto, Portugal"
P1,Santa Clara,37.2333253,-121.6846349,"Santa Clara County, California, United States"
P1,Nacional,14.6807878,120.9387161,"Football Club De Malabon, Maria Leni Street, Gabriel Subdivision 2, Hulong Duhat, Malabon, Northern Manila District, Metro Manila, 1470, Philippines"
P1,Rio Ave,41.4441904,-8.3629345,"Rio Ave, Portugal"
P1,Naval,42.1947793,0.1518008,"Naval, Somontano de Barbastro, Huesca, Aragón, 22320, España"
P1,Leixoes,41.1864507,-8.6961588,"Leixões, Matosinhos, Porto, 4450-262, Portugal"
P1,Olhanense,37.030117,-7.8482243,"Urbanização Sporting Club Olhanense, Olhão, Faro, Portugal"
P1,Portimonense,37.1366247,-8.540189,"Portimonense, Travessa Pé da Cruz, Praia da Rocha, Portimão, Faro, 8500-642, Portugal"
P1,Feirense,40.9271044,-8.5466116,"Feirense, 14, Avenida Clube Desportivo Feirense, Santa Maria da Feira, Travanca, Sanfins e Espargo, Santa Maria da Feira, Aveiro, 4520-179, Portugal"
P1,Arouca,40.9289214,-8.2441746,"Arouca, Aveiro, Portugal"
P1,Uniao Madeira,32.8047917,-16.8786691,"União Desportiva de Santana, Rua Baltazar Dias, Sítio da Igreja, Chão da Rocha, Santana, Madeira, 9230-081, Portugal"
P1,Chaves,-22.937319,-43.1852596,"Fluminense Football Club, 41, Rua Álvaro Chaves, Laranjeiras, Rio de Janeiro, Região Sudeste, 22231-220, Brasil"
P1,Estrela,-29.5010545,-51.962226,"Estrela, Rio Grande do Sul, Região Sul, Brasil"
SC0,Dunfermline,56.0713724,-3.4616183,"Dunfermline, Fife, Alba / Scotland, United Kingdom"
SC0,Motherwell,55.7893512,-3.9904173,"Motherwell, North Lanarkshire, Alba / Scotland, ML1 1RB, United Kingdom"
SC0,Rangers,51.8763987,-8.4527188,"Nemo Rangers Hurling & Football Club, Tramore C, Cork, County Cork, Munster, Éire / Ireland"
SC0,Dundee United,56.4746993,-2.9690066,"Dundee United Football Club, Tannadice Street, Clepington, Stobswell, Dundee, Dundee City, Alba / Scotland, DD3 7JW, United Kingdom"
SC0,Hearts,35.6865164,139.7418877,"HEARTS, 永井坂, 一番町, 麹町, 千代田区, 東京都, 102-0083, 日本"
SC0,Celtic,55.7603836,-4.177497,"Celtic Football Club, Princes Square, Whitemoss, The Village, East Kilbride, South Lanarkshire, Alba / Scotland, G74 1LJ, United Kingdom"
SC0,Hibernian,52.2451614,-7.1214947,"Hibernian Football Club, Tramore Road, Kilbarry, Waterford, County Waterford, Munster, Éire / Ireland"
SC0,St Johnstone,55.8458333,-4.5136686,"St Benedict's High School, 35, Bridge of Weir Road, Linwood, Renfrewshire, Alba / Scotland, PA5 8EX, United Kingdom"
