league_code,HomeTeam,n
N1,Waalwijk,265
N1,Willem II,336
N1,Willem II ,1
N1,Zwolle,235
P1,AVS,34
P1,Academica,192
P1,Academico Viseu,3
P1,Alverca,56
P1,Arouca,154
P1,Aves,83
P1,Beira Mar,113
P1,Belenenses,281
P1,Benfica,398
P1,Boavista,288
P1,Campomaiorense,17
P1,Casa Pia,71
P1,Chaves,85
P1,Est Amadora,80
P1,Estoril,187
P1,Estrela,54
P1,Famalicao,122
P1,Farense,85
P1,Feirense,65
P1,Feirense ,1
P1,Gil Vicente,255
P1,Guimaraes,382
P1,Leiria,146
P1,Leixoes,45
P1,Maritimo,347
P1,Moreirense,225
P1,Nacional,279
P1,Naval,92
P1,Olhanense,75
P1,Pacos Ferreira,326
P1,Penafiel,35
P1,Portimonense,134
P1,Porto,397
P1,Rio Ave,299
P1,Salgueiros,34
P1,Santa Clara,156
P1,Setubal,273
P1,Sp Braga,395
P1,Sp Lisbon,398
P1,Tondela,136
P1,Trofense,15
P1,Uniao Madeira,17
P1,Varzim,34
P1,Vizela,51
SC0,Aberdeen,494
SC0,Celtic,493
SC0,Dundee,289
SC0,Dundee United,402
SC0,Dunfermline,152
SC0,Falkirk,118
SC0,Gretna,18
SC0,Hamilton,187
SC0,Hearts,454
SC0,Hibernian,436
SC0,Inverness C,228
SC0,Kilmarnock,473
SC0,Livingston,221
SC0,Motherwell,491
SC0,Partick,134
SC0,Rangers,416
SC0,Ross County,222
SC0,St Johnstone,342
SC0,St Mirren,342
SP1,Alaves,247
SP1,Albacete,35
SP1,Almeria,152
SP1,Ath Bilbao,493
SP1,Ath Madrid,450
SP1,Barcelona,489
SP1,Betis,414
SP1,Cadiz,95
SP1,Celta,379
SP1,Cordoba,19
SP1,Eibar,133
SP1,Elche,116
SP1,Espanol,450
SP1,Getafe,398
SP1,Gimnastic,19
SP1,Girona,114
SP1,Granada,190
SP1,Hercules,19
SP1,Huesca,38
SP1,La Coruna,298
SP1,Las Palmas,133
SP1,Leganes,95
SP1,Levante,284
SP1,Malaga,299
SP1,Mallorca,354
SP1,Murcia,38
SP1,Numancia,53
SP1,Osasuna,413
SP1,Oviedo,38
SP1,Real Madrid,489
SP1,Recreativo,73
SP1,Santander,207
SP1,Sevilla,470
SP1,Sociedad,435
SP1,Sp Gijon,114
SP1,Tenerife,37
SP1,Valencia,489
SP1,Valladolid,261
SP1,Vallecano,264
SP1,Villarreal,471
SP1,Xerez,19
SP1,Zaragoza,206
T1,A. Sebatspor,18
T1,Ad. Demirspor,74
T1,Adanaspor,68
T1,Akhisar Belediyespor,119
T1,Alanyaspor,181
T1,Altay,36
T1,Amedspor,3
T1,Ankaragucu,278
T1,Ankaraspor,69
T1,Antalyaspor,348
T1,Balikesirspor,17
T1,Besiktas,436
T1,Bodrumspor,18
T1,Bucaspor,17
T1,Bursaspor,288
T1,Buyuksehyr,317
T1,Corum,2
T1,Denizlispor,190
T1,Diyarbakirspor,85
T1,Elazigspor,68
T1,Erciyesspor,68
T1,Erzurum BB,37
T1,Erzurumspor,19
T1,Eskisehirspor,135
T1,Eyupspor,38
T1,Fenerbahce,436
T1,Galatasaray,436
T1,Gaziantep,131
T1,Gaziantepspor,272
T1,Genclerbirligi,347
T1,Giresunspor,37
T1,Goztep,161
T1,Hacettepespor,17
T1,Hatayspor,94
T1,Istanbulspor,106
T1,Karabukspor,119
T1,Karagumruk,93
T1,Kasimpasa,299
T1,Kayserispor,349
T1,Kocaelispor,87
T1,Konyaspor,335
T1,Malatyaspor,69
T1,Manisaspor,100
T1,Mersin Idman Yurdu,68
T1,Oftasspor,17
T1,Orduspor,34
T1,Osmanlispor,51
T1,Pendikspor,19
T1,Rizespor,299
T1,Sakaryaspor,17
T1,Samsunspor,159
T1,Siirt Jet-PA,17
T1,Sivasspor,331
T1,Trabzonspor,435
T1,Umraniyespor,18
T1,Yeni Malatyaspor,90
T1,Yozgatspor,34
