league_code,Home,n
CHN,Nantong Zhiyun,30
CHN,Qingdao FC,22
CHN,Qingdao Hainiu,57
CHN,Qingdao West Coast,43
CHN,Shandong Luneng,100
CHN,Shandong Taishan,86
CHN,Shanghai Port,86
CHN,Shanghai SIPG,100
CHN,Shanghai Shenhua,186
CHN,Shanghai Shenxin,30
CHN,Shenzhen,68
CHN,Shenzhen Xinpengcheng,43
CHN,Shijiazhuang,40
CHN,Tianjin Jinmen Tiger,187
CHN,Tianjin Quanjian,30
CHN,Tianjin Tianhai,15
CHN,Wuhan FC,54
CHN,Wuhan Three Towns,75
CHN,Yanbian,30
CHN,Yunnan Yukun,28
CHN,Zhejiang Greentown,1
CHN,Zhejiang Professional,75
CHN,Zhejiang Yiteng,15
DNK,Aalborg,202
DNK,Aarhus,223
DNK,Brondby,239
DNK,Esbjerg,119
DNK,FC Copenhagen,242
DNK,Fredericia,16
DNK,Helsingor,19
DNK,Hobro,84
DNK,Horsens,124
DNK,Hvidovre IF,16
DNK,Lyngby,123
DNK,Midtjylland,241
DNK,Nordsjaelland,240
DNK,Odense,218
DNK,Randers FC,238
DNK,Silkeborg,168
DNK,Sonderjyske,202
DNK,Vejle,97
DNK,Vendsyssel,20
DNK,Vestsjaelland,32
DNK,Viborg,137
FIN,AC Oulu,82
FIN,Ekenas,13
FIN,Gnistan,42
FIN,HIFK,100
FIN,HJK,229
FIN,Haka,98
FIN,Honka,136
FIN,Ilves,174
FIN,Inter Turku,224
FIN,JJK Jyvaskyla,49
FIN,Jaro,92
FIN,KPV Kokkola,15
FIN,KTP,57
FIN,KuPS,223
FIN,Lahti,210
FIN,Mariehamn,223
FIN,MyPa,50
FIN,PK-35 Vantaa,17
FIN,PS Kemi,48
FIN,Rovaniemi,123
FIN,SJK,192
FIN,TPS,95
FIN,VPS,196
IRL,Athlone,16
IRL,Bohemians,248
IRL,Bray,121
IRL,Cabinteely,2
IRL,Cobh Ramblers,1
IRL,Cork City,179
IRL,Derry City,248
IRL,Drogheda,193
IRL,Dundalk,232
IRL,Finn Harps,100
IRL,Galway,105
IRL,Limerick,87
IRL,Longford,54
IRL,Mervue,1
IRL,Monaghan,7
IRL,Shamrock Rovers,247
IRL,Shelbourne,132
IRL,Sligo Rovers,248
IRL,St. Patricks,249
IRL,Treaty United,1
IRL,UC Dublin,108
IRL,Waterford,119
IRL,Wexford,18
JPN,Albirex Niigata,157
JPN,Avispa Fukuoka,112
JPN,Cerezo Osaka,214
JPN,Chiba,3
JPN,FC Tokyo,247
JPN,Gamba Osaka,231
JPN,Hokkaido Consadole Sapporo,157
JPN,Iwata,139
JPN,Kashima Antlers,248
JPN,Kashiwa Reysol,230
JPN,Kawasaki Frontale,248
JPN,Kofu,85
JPN,Kumamoto,2
JPN,Kyoto,76
JPN,Machida,41
JPN,Mito,4
JPN,Montedio Yamagata,17
JPN,Nagoya Grampus,231
JPN,Oita Trinita,70
JPN,Okayama,23
JPN,Omiya Ardija,87
JPN,Sagan Tosu,225
JPN,Sanfrecce Hiroshima,249
JPN,Shimizu S-Pulse,195
JPN,Shonan Bellmare,194
JPN,Tokushima,38
JPN,Urawa Reds,249
JPN,V-Varen Nagasaki,21
JPN,Vegalta Sendai,172
JPN,Verdy,43
JPN,Vissel Kobe,231
JPN,Yamaga,34
JPN,Yokohama F. Marinos,247
JPN,Yokohama FC,73
MEX,Atl. San Luis,144
MEX,Atlante,38
MEX,Atlas,254
MEX,Chiapas,87
MEX,Club America,293
MEX,Club Leon,268
MEX,Club Tijuana,256
MEX,Cruz Azul,274
MEX,Dorados de Sinaloa,17
MEX,Guadalajara Chivas,262
MEX,Juarez,122
MEX,Leones Negros,17
MEX,Lobos BUAP,34
MEX,Mazatlan FC,102
MEX,Monarcas,143
MEX,Monterrey,278
MEX,Necaxa,179
MEX,Pachuca,267
MEX,Puebla,248
MEX,Queretaro,243
MEX,Santos Laguna,265
MEX,Tigres UANL,286
MEX,Toluca,273
MEX,UNAM Pumas,261
MEX,Veracruz,113
NOR,Aalesund,147
NOR,Bodo/Glimt,175
NOR,Brann,192
NOR,Bryne,15
NOR,Fredrikstad,55
NOR,Ham-Kam,26
NOR,HamKam,44
NOR,Haugesund,211
NOR,Honefoss,30
NOR,Jerv,17
NOR,KFUM Oslo,41
NOR,Kongsvinger,1
NOR,Kristiansund,130
NOR,Lillestrom,191
NOR,Mjondalen,61
NOR,Molde,220
NOR,Moss,1
NOR,Odd,195
NOR,Ranheim,32
NOR,Rosenborg,221
NOR,Sandefjord,146
NOR,Sandnes,46
NOR,Sarpsborg 08,205
NOR,Sogndal,76
NOR,Stabaek,151
NOR,Start,102
NOR,Stromsgodset,210
NOR,Tromso,190
NOR,Ull/Kisa,1
NOR,Valerenga,206
NOR,Viking,204
POL,Arka Gdynia,91
POL,Cracovia,234
POL,GKS Belchatow,33
